inertia,cognitive,social,agents,mean_error,std_error
0.4,1.5,1.0,40,188.34185606027526,8.016811070691656
0.6,2.0,1.0,40,207.9843366913252,8.040965430366855
0.4,2.0,1.5,30,213.0295577650145,24.07868138793397
0.6,1.5,1.0,40,219.0738877117653,30.5929994056393
0.4,2.0,1.0,30,222.44439182142597,31.692833401527324
0.4,2.0,1.5,40,226.0977279849977,32.54384087016142
0.4,1.0,2.0,20,231.66033309962492,21.05652787757641
0.6,1.0,1.0,40,232.87330382143168,14.502076689066545
0.4,1.0,1.5,30,238.15014293297725,13.525848843617588
0.4,1.5,1.0,30,238.210115935246,28.850412292959643
0.4,1.5,1.5,30,243.5558514580996,40.75163033467391
0.6,1.5,1.0,30,244.1316709223013,23.890583232489636
0.8,1.0,1.0,30,244.3289265708704,12.136008365430891
0.6,2.0,1.0,20,245.7435062680613,29.657610964014015
0.4,1.0,1.0,30,250.93730234184167,36.350586614363124
0.4,1.0,1.5,40,251.79453817379127,40.696534909907506
0.4,2.0,1.0,40,254.2209762071944,23.74648821715633
0.8,1.5,1.0,30,255.789742562601,11.577088490698479
0.4,1.5,1.5,20,256.1866595769991,9.307330968816002
0.4,2.0,1.5,20,257.8258995412794,22.44944029719737
0.4,1.5,1.5,40,258.1968625763465,21.1811937853975
0.6,1.0,1.0,20,259.3707393840028,28.476041116772116
0.6,1.5,1.5,40,259.73336100487535,21.805496826768795
0.6,1.5,1.0,20,263.949326486139,26.84379010283853
0.6,1.0,1.0,30,265.9580746384359,40.403272930106915
0.6,1.0,1.5,40,266.97427543073354,46.71156554549478
0.4,2.0,1.0,20,267.47229053823526,24.713547630458265
0.4,1.5,2.0,40,271.6973552698278,27.64412938044871
0.8,2.0,1.0,30,272.1224266398693,11.476250609473885
0.8,1.5,1.0,40,272.8027155830269,11.97064112283865
0.6,1.0,1.5,20,274.03334950222967,18.131432502786218
0.4,1.0,1.0,40,275.30326545133306,21.470316051497008
0.8,1.5,1.0,20,276.0934090845197,28.482529539721977
0.4,1.5,2.0,30,278.7387828984426,100.40048305490576
0.6,2.0,1.0,30,286.0279781729956,78.7297956268706
0.8,1.0,1.0,40,286.3362356629143,27.00546594396937
0.6,1.0,1.5,30,287.1244991414332,36.142158384334365
0.4,1.0,2.0,30,287.53467181449986,9.909142851392486
0.6,1.5,2.0,40,288.63597653755835,24.12083690226422
0.6,1.5,1.5,30,289.0091067366972,29.14384900700021
0.4,1.0,1.5,20,289.7190975573308,15.350562118393446
0.6,2.0,1.5,30,290.43996894306605,46.38677311418541
0.4,2.0,2.0,40,291.8691126588197,17.549547747276335
0.6,1.0,2.0,40,292.52257539034673,18.067194214587147
0.6,1.0,2.0,20,293.53502379588235,19.56653368207636
0.6,1.5,1.5,20,296.46246753011343,19.14257966486292
0.4,2.0,2.0,30,299.10983218783434,14.80855815374861
0.4,1.0,2.0,40,299.12823736350884,70.8826648977216
0.4,1.5,1.0,20,302.6357687216964,59.9030956594618
0.4,1.0,1.0,20,303.40194812045553,60.051611247030365
0.4,2.0,2.0,20,303.46601453500233,9.359148049591113
0.8,1.0,1.0,20,306.65804146757705,19.157810011088273
0.8,1.0,1.5,30,309.20131142775125,39.422471228044536
0.8,2.0,1.0,40,312.80040572652223,26.937776197870566
0.6,2.0,1.5,40,314.7863089383836,30.945711996494733
0.8,1.0,1.5,40,316.2068874701902,27.876990030203167
0.6,2.0,1.5,20,319.2173370720006,6.220881205658666
0.8,1.5,1.5,40,326.0943337167778,20.512027962346924
0.6,1.5,2.0,30,331.52577544726665,22.911842894674987
0.6,2.0,2.0,40,334.7241447067573,48.26853741813026
0.4,1.5,2.0,20,348.5725948105728,47.25102067584977
0.6,1.5,2.0,20,349.7845805905574,17.200701461038356
0.6,1.0,2.0,30,351.81855427010936,24.333521676852236
0.8,1.5,1.5,30,352.80409193566817,38.38103225450519
0.8,1.0,1.5,20,355.19790798982075,25.50718131741975
0.6,2.0,2.0,30,367.51446836605163,12.021687378088906
0.8,2.0,1.0,20,374.6884182964543,10.52375902455286
0.8,2.0,1.5,40,385.93149124875754,9.650030787027879
0.8,2.0,1.5,30,391.16029053291504,44.42266657239243
0.8,1.5,1.5,20,392.4523638683604,52.823163465433666
0.8,1.5,2.0,40,424.78082367384155,57.02724317080376
0.6,2.0,2.0,20,428.493119805529,59.62599352413656
0.8,1.0,2.0,40,438.390561656932,14.33300965274526
0.8,2.0,1.5,20,454.98338796539275,45.16329858380368
0.8,1.5,2.0,20,463.95946993740455,59.85428619352629
0.8,1.0,2.0,30,465.57731782810333,49.87843510339939
0.8,1.5,2.0,30,490.6791611450729,64.31317037756087
0.8,2.0,2.0,40,495.4675583187486,37.29872766149093
0.8,1.0,2.0,20,515.4026964110246,16.41313681487561
0.8,2.0,2.0,30,515.8945998928202,13.063786040122501
0.8,2.0,2.0,20,546.1024073687848,84.41738354871798
