time,id,x,y
1,1,19.910127677797142,77.92528076796637
1,2,190.05653545142823,262.39807865882557
1,3,313.78151026664966,373.44959388637926
1,4,215.9943495942926,98.3790335903251
1,5,191.5790911796259,13.973257666841032
1,6,372.3987175450742,313.6487605450453
1,7,204.9051324970724,69.10945205553953
1,8,207.40018667787407,374.25650559891164
1,9,91.2982360415076,309.0824637294992
1,10,134.68383866546247,182.94908180943122
1,11,64.32818662766752,390.2755558773434
1,12,373.4613399480156,361.9559979991257
1,13,115.30474184252681,14.974078917697087
1,14,78.24025193832225,135.22536870115633
1,15,202.9056634320183,392.1454512982974
1,16,185.56195793795288,201.7935746578633
1,17,49.768445090775515,226.43796680898777
1,18,169.53128707255982,122.45493723437741
1,19,25.483619877803765,136.63588336181402
1,20,152.85323253226082,335.68205351275304
1,21,210.25905133742583,23.200375600300084
1,22,0.5710731196244101,263.91969002474093
1,23,33.33113774907992,319.404554039201
1,24,21.781754207028172,380.06641867177683
1,25,155.98521475667764,68.71775048443718
1,26,270.7642547985347,14.945486572085454
1,27,183.7485950156601,221.48839761106865
1,28,174.99076825023917,291.9262638726357
1,29,191.48196795754484,211.49952025477577
1,30,142.39579374550738,95.56089812605993
1,31,330.1563533783526,4.497233329457817
1,32,165.85655358082712,11.24416669562418
1,33,44.80646704841775,208.87235593233603
1,34,233.19637215781918,85.49290716534715
1,35,143.14802252763837,143.89700518233096
1,36,60.478463594054645,310.21639920738437
1,37,234.33702306914572,244.50189774247085
1,38,398.3101475878536,293.8703022573692
1,39,301.9979221153614,354.80227391314605
1,40,182.24579407828892,316.568669753077
1,41,134.81020616033283,266.95749034857386
1,42,110.02283233107661,62.20293740842395
1,43,307.88411908176226,98.42156523868191
1,44,395.906906533931,243.65387569762694
1,45,267.73590164193746,190.46388591908442
1,46,239.10327240525694,376.9199816279926
1,47,228.38400723244786,347.03283741135414
1,48,85.28856044576037,126.90340087755763
1,49,260.52368445738006,107.18240722313351
1,50,164.11457730044083,313.2658706776604
2,1,19.910127677797142,77.92528076796637
2,2,190.05653545142823,262.39807865882557
2,3,313.78151026664966,373.44959388637926
2,4,215.9943495942926,98.3790335903251
2,5,191.5790911796259,13.973257666841032
2,6,372.3987175450742,313.6487605450453
2,7,204.9051324970724,69.10945205553953
2,8,207.40018667787407,374.25650559891164
2,9,91.2982360415076,309.0824637294992
2,10,134.68383866546247,182.94908180943122
2,11,64.32818662766752,390.2755558773434
2,12,373.4613399480156,361.9559979991257
2,13,115.30474184252681,14.974078917697087
2,14,78.24025193832225,135.22536870115633
2,15,202.9056634320183,392.1454512982974
2,16,185.56195793795288,201.7935746578633
2,17,49.768445090775515,226.43796680898777
2,18,169.53128707255982,122.45493723437741
2,19,25.483619877803765,136.63588336181402
2,20,152.85323253226082,335.68205351275304
2,21,210.25905133742583,23.200375600300084
2,22,0.5710731196244101,263.91969002474093
2,23,33.33113774907992,319.404554039201
2,24,21.781754207028172,380.06641867177683
2,25,155.98521475667764,68.71775048443718
2,26,270.7642547985347,14.945486572085454
2,27,183.7485950156601,221.48839761106865
2,28,174.99076825023917,291.9262638726357
2,29,191.48196795754484,211.49952025477577
2,30,142.39579374550738,95.56089812605993
2,31,330.1563533783526,4.497233329457817
2,32,165.85655358082712,11.24416669562418
2,33,44.80646704841775,208.87235593233603
2,34,233.19637215781918,85.49290716534715
2,35,143.14802252763837,143.89700518233096
2,36,60.478463594054645,310.21639920738437
2,37,234.33702306914572,244.50189774247085
2,38,398.3101475878536,293.8703022573692
2,39,301.9979221153614,354.80227391314605
2,40,182.24579407828892,316.568669753077
2,41,134.81020616033283,266.95749034857386
2,42,110.02283233107661,62.20293740842395
2,43,307.88411908176226,98.42156523868191
2,44,395.906906533931,243.65387569762694
2,45,267.73590164193746,190.46388591908442
2,46,239.10327240525694,376.9199816279926
2,47,228.38400723244786,347.03283741135414
2,48,85.28856044576037,126.90340087755763
2,49,260.52368445738006,107.18240722313351
2,50,164.11457730044083,313.2658706776604
3,1,19.910127677797142,77.92528076796637
3,2,190.05653545142823,262.39807865882557
3,3,313.78151026664966,373.44959388637926
3,4,215.9943495942926,98.3790335903251
3,5,191.5790911796259,13.973257666841032
3,6,372.3987175450742,313.6487605450453
3,7,204.9051324970724,69.10945205553953
3,8,207.40018667787407,374.25650559891164
3,9,91.2982360415076,309.0824637294992
