0	1	2	20.048192771084334	20.048192771084334
0	2	2	20.02000000000001	95.04799999999996
0	3	2	19.988000000000014	169.91600000000003
0	4	2	95.0517928286853	19.968127490039834
0	5	2	95.0239999999999	94.976
0	6	2	95.06827309236948	169.9196787148594
0	7	2	170.01606425702812	19.9317269076305
0	8	2	170.05200000000005	94.988
0	9	2	170.01593625498	170.04780876494013
0	10	1	27.5	178.5
0	11	1	86	20.5
0	12	1	85	145
0	13	1	35.5	41.5
0	14	1	91.25	72
0	15	1	98	32.5
0	16	1	168	131
0	17	1	71.66666666666667	143
0	18	1	53.5	167
0	19	1	100	109.5
0	20	1	133	139.66666666666666
0	21	1	103	40
0	22	1	46	74
0	23	1	82	148.25
0	24	1	47.5	109.5
0	25	1	118	70.5
0	26	1	22	77
0	27	1	77	147
0	28	1	135.75	44
0	29	1	160	60
1	1	2	20.011999999999993	20.043999999999997
1	2	2	19.979919678714865	95.12048192771087
1	3	2	19.988000000000014	169.91600000000003
1	4	2	95.0843373493976	19.991967871485933
1	5	2	95.0239999999999	94.976
1	6	2	95.08399999999996	169.9519999999999
1	7	2	169.99999999999994	19.999999999999996
1	8	2	170.04799999999994	95.05999999999997
1	9	2	170.01599999999996	170.0120000000001
1	10	1	27.5	178.5
1	11	1	86.33333333333333	20.666666666666668
1	12	1	85	144.5
1	13	1	35.2	41.8
1	14	1	91.6	71.19999999999999
1	15	1	97.875	33
1	16	1	169	131.5
1	17	1	71.99999999999999	142.25000000000003
1	18	1	54	166.66666666666666
1	19	1	99.83333333333333	110.16666666666667
1	20	1	132.28571428571428	140.28571428571428
1	21	1	102.5	39.5
1	22	1	45.6	74.2
1	23	1	83.11111111111111	147.22222222222223
1	24	1	47.166666666666664	109.16666666666667
1	25	1	117.5	70.25
1	26	1	22	77
1	27	1	77	146.5
1	28	1	135.85714285714286	43.857142857142854
1	29	1	159.25	60
2	1	2	19.975903614457824	20.044176706827304
2	2	2	19.964	95.08800000000001
2	3	2	19.988000000000014	169.91600000000003
2	4	2	95.1174089068826	20.02834008097166
2	5	2	95.02409638554215	95.01204819277106
2	6	2	95.08799999999998	170.024
2	7	2	169.99999999999994	19.999999999999996
2	8	2	170.04799999999994	95.05999999999997
2	9	2	170.01599999999996	170.0120000000001
2	10	1	27.5	178.5
2	11	1	86.14285714285714	20.428571428571427
2	12	1	84.8	145.8
2	13	1	35.66666666666667	41.83333333333333
2	14	1	92	71.35714285714285
2	15	1	97.72727272727272	32.36363636363637
2	16	1	168.6923076923077	130.07692307692307
2	17	1	72	142.4
2	18	1	54.42857142857142	166.28571428571428
2	19	1	100.44444444444444	109.88888888888889
2	20	1	131.70588235294116	140.35294117647058
2	21	1	102.6	39.8
2	22	1	45.800000000000004	74.5
2	23	1	82.78571428571429	147.6428571428571
2	24	1	47.53846153846153	109.3846153846154
2	25	1	117.8	70.6
2	26	1	21.5	76
2	27	1	77	146.5
2	28	1	135.75	43.41666666666667
2	29	1	158.57142857142858	60.57142857142857
3	1	2	19.939999999999998	20.047999999999995
3	2	2	19.964	95.08800000000001
3	3	2	19.988000000000014	169.91600000000003
3	4	2	95.10245901639347	19.987704918032794
3	5	2	95.02409638554215	95.01204819277106
3	6	2	95.05220883534135	170.02409638554218
3	7	2	169.99999999999994	19.999999999999996
3	8	2	170.04799999999994	95.05999999999997
3	9	2	170.02000000000015	169.99600000000004
3	10	1	28	178.66666666666666
3	11	1	86.1111111111111	20.444444444444443
3	12	1	84.76923076923076	145.84615384615384
3	13	1	35.357142857142854	41.357142857142854
3	14	1	91.82608695652176	71.04347826086959
3	15	1	97.78947368421055	31.8421052631579
3	16	1	169.1	130.1
3	17	1	71.9	142.70000000000002
3	18	1	54.74999999999999	166.125
3	19	1	100.3846153846154	109.61538461538461
3	20	1	131.95999999999992	140.35999999999999
3	21	1	102.6	39.8
3	22	1	45.769230769230774	74.69230769230768
3	23	1	83.14285714285714	147.7142857142857
3	24	1	47.56	109.39999999999998
3	25	1	118.4375	70.0625
3	26	1	20.900000000000002	75.2
3	27	1	77.75	146.5
3	28	1	135.85714285714283	43.285714285714285
3	29	1	158.78947368421052	60.368421052631575
4	1	2	19.939999999999998	20.047999999999995
4	2	2	19.964	95.08800000000001
4	3	2	19.967741935483872	169.85080645161295
4	4	2	95.18181818181823	19.938016528925615
4	5	2	95.03999999999998	94.97999999999998
4	6	2	95.05999999999995	170.06
4	7	2	169.99999999999994	19.999999999999996
4	8	2	170.04799999999994	95.05999999999997
4	9	2	170.02000000000015	169.99600000000004
4	10	1	27.142857142857146	178.28571428571428
4	11	1	86.21428571428574	20.285714285714285
4	12	1	84.64285714285715	145.57142857142856
4	13	1	35.39999999999999	41.449999999999996
4	14	1	92.19047619047618	71.30952380952381
4	15	1	97.31034482758619	32.48275862068966
4	16	1	169.4814814814815	130.1851851851852
4	17	1	72.24137931034483	143.27586206896552
4	18	1	54.99999999999999	165.81818181818184
4	19	1	100.38888888888889	109.72222222222223
4	20	1	132.0285714285714	140.3714285714286
4	21	1	102.44444444444444	39.666666666666664
4	22	1	46.04761904761905	75.04761904761905
4	23	1	83.16129032258064	147.4516129032258
4	24	1	47.026315789473685	109.4736842105263
4	25	1	118.33333333333333	70.05555555555556
4	26	1	20.176470588235297	74.94117647058823
4	27	1	77.3	146.6
4	28	1	135.7826086956522	43.47826086956522
4	29	1	158.55555555555557	60.77777777777778
5	1	2	19.939999999999998	20.047999999999995
5	2	2	19.964	95.08800000000001
5	3	2	19.939759036144576	169.7469879518073
5	4	2	95.21008403361346	19.882352941176478
5	5	2	95.03999999999998	94.97999999999998
5	6	2	95.05999999999995	170.06
5	7	2	169.99999999999994	19.999999999999996
5	8	2	170.04799999999994	95.05999999999997
5	9	2	169.97999999999996	169.9599999999998
5	10	1	26.583333333333332	178.66666666666666
5	11	1	86.04999999999998	20.25
5	12	1	84.83333333333334	145.70833333333331
5	13	1	35.68750000000001	41.37499999999999
5	14	1	92.44444444444444	71.47619047619048
5	15	1	97.23684210526316	32.52631578947368
5	16	1	169.31818181818184	129.9545454545454
5	17	1	72.16279069767442	143.83720930232553
5	18	1	54.66666666666667	165.61111111111111
5	19	1	100.125	109.25
5	20	1	131.93333333333342	140.13333333333333
5	21	1	102.7	40.00000000000001
5	22	1	45.333333333333336	75.18181818181819
5	23	1	83.26470588235293	147.79411764705887
5	24	1	46.857142857142854	109.10714285714286
5	25	1	118.7037037037037	70.25925925925925
5	26	1	19.958333333333336	75.16666666666669
5	27	1	77.66666666666666	146.13333333333335
5	28	1	135.4375	43.15625000000001
5	29	1	158.24390243902434	60.87804878048781
6	1	2	19.939999999999998	20.047999999999995
6	2	2	19.964	95.08800000000001
6	3	2	19.924000000000007	169.77999999999997
6	4	2	95.27542372881348	19.86016949152542
6	5	2	95.03999999999998	94.97999999999998
6	6	2	95.05999999999995	170.06
6	7	2	169.99999999999994	19.999999999999996
6	8	2	170.04799999999994	95.05999999999997
6	9	2	169.97999999999996	169.9599999999998
6	10	1	27.333333333333336	178.11111111111111
6	11	1	85.74074074074075	20.074074074074073
6	12	1	84.65789473684211	145.73684210526318
6	13	1	35.60000000000001	41.16363636363636
6	14	1	92.86516853932585	71.25842696629215
6	15	1	97.32000000000001	32.60000000000001
6	16	1	169.58333333333331	129.73333333333332
6	17	1	71.84126984126988	144.38095238095244
6	18	1	54.69230769230769	165.50000000000006
6	19	1	100.05555555555553	109.19444444444447
6	20	1	131.87719298245617	140.4035087719298
6	21	1	102.6	40.32000000000001
6	22	1	45.02325581395349	75.55813953488372
6	23	1	83.24324324324324	148.5135135135135
6	24	1	46.85333333333334	108.48000000000003
6	25	1	118.95918367346938	71.12244897959187
6	26	1	19.903225806451612	75
6	27	1	77.60000000000001	146.45000000000002
6	28	1	135.38636363636363	43.43181818181818
6	29	1	158.70588235294122	61.13725490196078
7	1	2	19.939999999999998	20.047999999999995
7	2	2	19.964	95.08800000000001
7	3	2	19.924000000000007	169.77999999999997
7	4	2	95.2863247863248	19.824786324786317
7	5	2	95.03999999999998	94.97999999999998
7	6	2	95.05999999999995	170.06
7	7	2	169.99999999999994	19.999999999999996
7	8	2	170.04799999999994	95.05999999999997
7	9	2	169.97999999999996	169.9599999999998
7	10	1	27.46153846153846	177.88461538461542
7	11	1	85.54054054054056	20.621621621621625
7	12	1	84.39024390243904	146.24390243902437
7	13	1	35.84146341463414	41.04878048780489
7	14	1	92.93913043478264	71.30434782608697
7	15	1	97.33846153846159	32.707692307692305
7	16	1	168.96551724137925	129.19540229885055
7	17	1	71.7848101265823	144.48101265822788
7	18	1	54.51351351351353	165.24324324324328
7	19	1	99.95744680851062	109.10638297872339
7	20	1	132.0714285714286	140.3428571428572
7	21	1	102.60465116279069	41.139534883720934
7	22	1	45.436363636363645	75.70909090909095
7	23	1	84.04444444444447	148.2666666666667
7	24	1	46.7741935483871	108.05376344086022
7	25	1	119.13333333333333	71.03333333333332
7	26	1	19.731707317073177	75.07317073170731
7	27	1	77.61764705882354	146.00000000000003
7	28	1	135.12727272727267	43.47272727272728
7	29	1	158.79365079365076	61.253968253968246
8	1	2	19.939999999999998	20.047999999999995
8	2	2	19.964	95.08800000000001
8	3	2	19.858870967741932	169.67338709677418
8	4	2	95.32034632034626	19.78787878787879
8	5	2	95.03999999999998	94.97999999999998
8	6	2	95.05999999999995	170.06
8	7	2	169.99999999999994	19.999999999999996
8	8	2	170.04799999999994	95.05999999999997
8	9	2	169.97999999999996	169.9599999999998
8	10	1	27.657142857142855	177.94285714285715
8	11	1	85.34693877551021	21.020408163265305
8	12	1	84.48000000000002	146.47999999999996
8	13	1	35.598130841121495	40.700934579439256
8	14	1	93.22058823529419	71.41176470588235
8	15	1	97.69620253164558	32.54430379746835
8	16	1	168.62385321100916	128.5045871559634
8	17	1	71.41758241758237	144.29670329670324
8	18	1	53.92307692307692	165.76923076923072
8	19	1	99.9622641509434	109.18867924528301
8	20	1	131.68604651162795	140.37209302325584
8	21	1	102.50769230769228	41.64615384615385
8	22	1	45.47826086956522	75.40579710144931
8	23	1	84.01960784313727	148.3921568627451
8	24	1	46.63809523809524	108.02857142857145
8	25	1	119.2	70.54666666666664
8	26	1	19.431034482758626	74.9310344827586
8	27	1	78.4	146.28888888888892
8	28	1	135.03947368421055	43.723684210526315
8	29	1	158.49425287356317	61.19540229885057
9	1	2	19.939999999999998	20.047999999999995
9	2	2	19.964	95.08800000000001
9	3	2	19.854838709677423	169.60887096774195
9	4	2	95.31877729257639	19.755458515283838
9	5	2	95.03999999999998	94.97999999999998
9	6	2	95.05999999999995	170.06
9	7	2	169.99999999999994	19.999999999999996
9	8	2	170.04799999999994	95.05999999999997
9	9	2	169.97999999999996	169.9599999999998
9	10	1	27.93617021276596	178.04255319148933
9	11	1	84.78124999999999	20.468750000000004
9	12	1	84.92857142857143	145.83928571428567
9	13	1	35.485294117647065	40.72058823529411
9	14	1	92.99418604651166	71.55813953488368
9	15	1	97.80645161290322	32.49462365591398
9	16	1	168.48461538461535	128.4923076923077
9	17	1	71.05000000000004	143.98999999999998
9	18	1	54.311688311688314	165.72727272727278
9	19	1	100.02985074626866	109.1940298507463
9	20	1	131.73043478260877	140.64347826086947
9	21	1	102.67032967032965	42.01098901098899
9	22	1	45.46666666666667	75.1111111111111
9	23	1	84.24999999999999	148.38333333333335
9	24	1	46.429752066115704	107.66942148760336
9	25	1	119.22680412371139	70.79381443298972
9	26	1	19.249999999999996	75.11764705882352
9	27	1	78.06349206349203	146.4761904761905
9	28	1	135.22222222222211	43.38383838383837
9	29	1	158.70909090909095	61.49999999999999
10	1	2	19.939999999999998	20.047999999999995
10	2	2	19.964	95.08800000000001
10	3	2	19.8130081300813	169.56097560975607
10	4	2	95.43362831858406	19.80530973451327
10	5	2	95.03999999999998	94.97999999999998
10	6	2	95.05999999999995	170.06
10	7	2	169.99999999999994	19.999999999999996
10	8	2	170.04799999999994	95.05999999999997
10	9	2	169.97999999999996	169.9599999999998
10	10	1	28.228070175438596	177.68421052631575
10	11	1	84.53246753246754	20.532467532467535
10	12	1	84.47058823529412	145.58823529411762
10	13	1	35.55345911949685	40.452830188679265
10	14	1	92.81725888324875	71.35532994923861
10	15	1	97.81249999999994	32.54464285714289
10	16	1	168.50898203592806	128.3892215568863
10	17	1	70.36036036036039	143.92792792792798
10	18	1	54.376237623762364	165.5841584158416
10	19	1	99.84337349397592	109
10	20	1	132.20689655172416	140.47586206896548
10	21	1	102.87826086956518	42.2608695652174
10	22	1	45.881355932203405	75.25423728813557
10	23	1	84.52857142857141	148.4857142857143
10	24	1	46.19205298013245	107.14569536423839
10	25	1	119.20869565217394	70.73913043478264
10	26	1	19.58888888888888	75.42222222222217
10	27	1	77.71232876712325	146.3424657534246
10	28	1	135.26890756302518	43.512605042016794
10	29	1	158.86764705882348	61.6911764705882
11	1	2	19.939999999999998	20.047999999999995
11	2	2	19.964	95.08800000000001
11	3	2	19.775510204081613	169.46122448979594
11	4	2	95.48888888888887	19.808888888888877
11	5	2	95.02409638554215	94.94779116465857
11	6	2	95.05999999999995	170.06
11	7	2	169.99999999999994	19.999999999999996
11	8	2	170.04799999999994	95.05999999999997
11	9	2	169.97999999999996	169.9599999999998
11	10	1	28.123287671232884	177.78082191780817
11	11	1	84.19417475728153	20.59223300970874
11	12	1	85.14457831325304	145.18072289156623
