fpr,tpr
0.0,0.0
0.0,0.006
0.008064516129032258,0.008
0.008064516129032258,0.01
0.016129032258064516,0.01
0.016129032258064516,0.018
0.016129032258064516,0.02
0.016129032258064516,0.022
0.016129032258064516,0.03
0.016129032258064516,0.032
0.016129032258064516,0.04
0.016129032258064516,0.042
0.024193548387096774,0.042
0.03225806451612903,0.042
0.03225806451612903,0.044
0.03225806451612903,0.046
0.04032258064516129,0.046
0.04032258064516129,0.048
0.04032258064516129,0.06
0.04032258064516129,0.064
0.04032258064516129,0.066
0.04032258064516129,0.068
0.04032258064516129,0.072
0.04032258064516129,0.076
0.04032258064516129,0.08
0.04032258064516129,0.082
0.04032258064516129,0.086
0.04838709677419355,0.086
0.04838709677419355,0.088
0.04838709677419355,0.098
0.056451612903225805,0.098
0.056451612903225805,0.1
0.056451612903225805,0.102
0.056451612903225805,0.104
0.056451612903225805,0.106
0.06451612903225806,0.106
0.06451612903225806,0.108
0.06451612903225806,0.11
0.06451612903225806,0.112
0.06451612903225806,0.114
0.07258064516129033,0.114
0.08064516129032258,0.114
0.08064516129032258,0.116
0.08064516129032258,0.122
0.08064516129032258,0.124
0.08064516129032258,0.126
0.08064516129032258,0.13
0.08064516129032258,0.132
0.08064516129032258,0.138
0.08064516129032258,0.142
0.08064516129032258,0.144
0.08064516129032258,0.148
0.08064516129032258,0.15
0.08064516129032258,0.152
0.08064516129032258,0.154
0.08064516129032258,0.156
0.08064516129032258,0.16
0.08064516129032258,0.164
0.08064516129032258,0.166
0.08064516129032258,0.174
0.08064516129032258,0.176
0.08064516129032258,0.178
0.08064516129032258,0.18
0.08870967741935484,0.18
0.08870967741935484,0.182
0.08870967741935484,0.186
0.08870967741935484,0.188
0.0967741935483871,0.188
0.0967741935483871,0.19
0.0967741935483871,0.192
0.10483870967741936,0.192
0.10483870967741936,0.194
0.10483870967741936,0.196
0.10483870967741936,0.198
0.10483870967741936,0.2
0.10483870967741936,0.202
0.10483870967741936,0.204
0.10483870967741936,0.206
0.10483870967741936,0.208
0.10483870967741936,0.212
0.11290322580645161,0.212
0.11290322580645161,0.218
0.11290322580645161,0.222
0.11290322580645161,0.232
0.12096774193548387,0.232
0.12096774193548387,0.234
0.12096774193548387,0.236
0.12096774193548387,0.24
0.12096774193548387,0.244
0.12096774193548387,0.246
0.12903225806451613,0.246
0.12903225806451613,0.248
0.12903225806451613,0.254
0.12903225806451613,0.256
0.12903225806451613,0.258
0.13709677419354838,0.258
0.13709677419354838,0.26
0.13709677419354838,0.27
0.14516129032258066,0.27
0.1532258064516129,0.27
0.16129032258064516,0.27
0.16129032258064516,0.272
0.16129032258064516,0.278
0.16129032258064516,0.28
0.16129032258064516,0.282
0.16129032258064516,0.284
0.16129032258064516,0.296
0.16129032258064516,0.298
0.1693548387096774,0.298
0.1693548387096774,0.3
0.1693548387096774,0.306
0.1774193548387097,0.306
0.18548387096774194,0.306
0.18548387096774194,0.308
0.18548387096774194,0.31
0.1935483870967742,0.31
0.1935483870967742,0.314
0.1935483870967742,0.316
0.1935483870967742,0.326
0.1935483870967742,0.328
0.1935483870967742,0.33
0.1935483870967742,0.332
0.1935483870967742,0.334
0.1935483870967742,0.336
0.1935483870967742,0.344
0.1935483870967742,0.346
0.1935483870967742,0.348
0.1935483870967742,0.35
0.1935483870967742,0.352
0.1935483870967742,0.356
0.1935483870967742,0.358
0.1935483870967742,0.36
0.1935483870967742,0.364
0.1935483870967742,0.366
0.1935483870967742,0.368
0.1935483870967742,0.37
0.1935483870967742,0.372
0.1935483870967742,0.376
0.1935483870967742,0.378
0.1935483870967742,0.38
0.1935483870967742,0.386
0.20161290322580644,0.386
0.20161290322580644,0.388
0.20161290322580644,0.39
0.20967741935483872,0.39
0.21774193548387097,0.39
0.21774193548387097,0.394
0.21774193548387097,0.404
0.22580645161290322,0.404
0.23387096774193547,0.408
0.23387096774193547,0.41
0.23387096774193547,0.412
0.23387096774193547,0.414
0.23387096774193547,0.416
0.23387096774193547,0.418
0.23387096774193547,0.42
0.23387096774193547,0.43
0.23387096774193547,0.436
0.23387096774193547,0.438
0.23387096774193547,0.44
0.23387096774193547,0.444
0.24193548387096775,0.444
0.24193548387096775,0.45
0.25,0.45
0.25,0.452
0.25,0.458
0.25,0.46
0.25,0.462
0.25,0.464
0.25,0.466
0.25,0.468
0.25,0.474
0.25,0.476
0.25,0.478
0.25,0.496
0.25,0.498
0.25,0.502
0.25,0.508
0.25,0.51
0.25,0.512
0.25806451612903225,0.512
0.25806451612903225,0.514
0.25806451612903225,0.516
0.25806451612903225,0.518
0.25806451612903225,0.524
0.25806451612903225,0.532
0.2661290322580645,0.532
0.27419354838709675,0.532
0.27419354838709675,0.536
0.27419354838709675,0.554
0.27419354838709675,0.556
0.28225806451612906,0.556
0.2903225806451613,0.556
0.2903225806451613,0.558
0.2903225806451613,0.562
0.29838709677419356,0.562
0.29838709677419356,0.564
0.3064516129032258,0.564
0.3064516129032258,0.566
0.3064516129032258,0.57
0.3064516129032258,0.572
0.3064516129032258,0.574
0.3064516129032258,0.576
0.3064516129032258,0.578
0.3064516129032258,0.58
0.3064516129032258,0.588
0.3064516129032258,0.59
0.3064516129032258,0.592
0.3064516129032258,0.6
0.3064516129032258,0.602
0.3064516129032258,0.606
0.3064516129032258,0.608
0.3064516129032258,0.614
0.3064516129032258,0.616
0.31451612903225806,0.616
0.3225806451612903,0.616
0.3225806451612903,0.618
0.3225806451612903,0.62
0.3225806451612903,0.622
0.3225806451612903,0.624
0.3225806451612903,0.626
0.3225806451612903,0.63
0.33064516129032256,0.63
0.33064516129032256,0.632
0.33064516129032256,0.634
0.33064516129032256,0.638
0.33064516129032256,0.642
0.33064516129032256,0.644
0.3387096774193548,0.644
0.3387096774193548,0.646
0.3387096774193548,0.648
0.3387096774193548,0.65
0.3387096774193548,0.652
0.3387096774193548,0.654
0.3387096774193548,0.656
0.3387096774193548,0.658
0.3387096774193548,0.66
0.3387096774193548,0.662
0.3387096774193548,0.664
0.3467741935483871,0.664
0.3467741935483871,0.666
0.3467741935483871,0.668
0.3467741935483871,0.67
0.3467741935483871,0.672
0.3548387096774194,0.672
0.3548387096774194,0.676
0.3629032258064516,0.676
0.3629032258064516,0.68
0.3629032258064516,0.682
0.3629032258064516,0.684
0.3629032258064516,0.686
0.3629032258064516,0.688
0.3629032258064516,0.69
0.3629032258064516,0.692
0.3629032258064516,0.694
0.3629032258064516,0.696
0.3629032258064516,0.698
0.3629032258064516,0.702
0.3629032258064516,0.704
0.3629032258064516,0.708
0.3629032258064516,0.71
0.3629032258064516,0.712
0.3629032258064516,0.714
0.3629032258064516,0.718
0.3629032258064516,0.72
0.3629032258064516,0.722
0.3629032258064516,0.724
0.3629032258064516,0.726
0.3629032258064516,0.728
0.3629032258064516,0.73
0.3629032258064516,0.736
0.3629032258064516,0.738
0.3629032258064516,0.74
0.3629032258064516,0.744
0.3629032258064516,0.746
0.3629032258064516,0.748
0.3629032258064516,0.75
0.3709677419354839,0.75
0.3790322580645161,0.75
0.3870967741935484,0.75
0.3951612903225806,0.75
0.3951612903225806,0.752
0.4032258064516129,0.752
0.4112903225806452,0.752
0.41935483870967744,0.752
0.41935483870967744,0.764
0.41935483870967744,0.766
0.4274193548387097,0.766
0.4274193548387097,0.77
0.43548387096774194,0.77
0.43548387096774194,0.772
0.43548387096774194,0.778
0.43548387096774194,0.78
0.43548387096774194,0.784
0.43548387096774194,0.786
0.43548387096774194,0.788
0.43548387096774194,0.796
0.43548387096774194,0.798
0.4435483870967742,0.798
0.4435483870967742,0.8
0.4435483870967742,0.802
0.4435483870967742,0.804
0.4435483870967742,0.806
0.4435483870967742,0.808
0.4435483870967742,0.816
0.4435483870967742,0.822
0.4435483870967742,0.824
