0	1	2	4.936000000000001	5.036
0	2	2	5.100401606425704	44.9638554216868
0	3	2	4.947791164658635	84.94779116465868
0	4	2	5.015999999999997	125.03200000000005
0	5	2	4.9319999999999995	164.94800000000004
0	6	2	44.96800000000002	5.016000000000001
0	7	2	45.01606425702812	45.036144578313255
0	8	2	44.976000000000006	84.95599999999996
0	9	2	44.987903225806484	124.9838709677419
0	10	2	44.93599999999998	164.9360000000001
0	11	2	85.04799999999999	5.0520000000000005
0	12	2	84.848	44.96
0	13	2	84.98799999999994	85.048
0	14	2	85.02008032128512	125.0321285140562
0	15	2	85.012	165.016
0	16	2	125	4.964
0	17	2	125.01600000000008	44.96799999999999
0	18	2	125.07600000000001	84.86799999999998
0	19	2	124.91199999999995	124.97200000000001
0	20	2	124.98799999999994	165.01599999999996
0	21	2	164.98393574297205	5.068273092369479
0	22	2	165.03599999999997	44.96800000000001
0	23	2	164.94399999999996	85.02799999999998
0	24	2	164.99199999999996	124.936
0	25	2	165.02008032128518	164.96787148594382
0	26	1	5.5	107.5
0	27	1	188	75
0	28	1	37	15.666666666666666
0	29	1	57	59
0	30	1	82	31
0	31	1	12	27
0	32	1	21	151
0	33	1	92.66666666666667	155.66666666666666
0	34	1	178.5	85.5
0	35	1	152	127
0	36	1	180	186
0	37	1	108	8.25
0	38	1	17	57
0	39	1	107.5	117
0	40	1	131.5	18.5
0	41	1	174	151
0	42	1	63.666666666666664	164.66666666666666
0	43	1	130	14
0	44	1	17	9
0	45	1	139.8	23.8
1	1	2	4.936000000000001	5.036
1	2	2	5.068273092369478	44.92771084337352
1	3	2	4.8959999999999955	85.01200000000004
1	4	2	4.975999999999997	124.99599999999995
1	5	2	4.9677419354838666	164.983870967742
1	6	2	44.964	4.9440000000000035
1	7	2	44.97999999999998	45.03199999999999
1	8	2	44.975903614457835	84.91967871485946
1	9	2	44.951417004048615	124.98380566801615
1	10	2	44.8995983935743	164.93975903614466
1	11	2	85.05220883534135	5.088353413654617
1	12	2	84.81200000000004	44.988000000000014
1	13	2	84.96799999999996	85.016
1	14	2	85.05599999999998	125.03599999999997
1	15	2	85.01606425702813	165.06827309236942
1	16	2	125.00401606425702	4.927710843373495
1	17	2	125.01600000000008	44.96799999999999
1	18	2	125.07600000000001	84.86799999999998
1	19	2	124.91199999999995	124.97200000000001
1	20	2	125.05599999999998	165.036
1	21	2	164.988	5.104000000000002
1	22	2	165.03599999999997	44.96800000000001
1	23	2	164.94399999999996	85.02799999999998
1	24	2	165.0321285140562	124.86345381526105
1	25	2	164.99999999999994	164.99999999999991
1	26	1	5.5	107.5
1	27	1	188	75.5
1	28	1	38	15.444444444444445
1	29	1	58	59
1	30	1	82.5	31.5
1	31	1	12	27
1	32	1	21.333333333333332	150
1	33	1	92.16666666666667	155.83333333333334
1	34	1	178.5	85.5
1	35	1	152	127
1	36	1	180	186
1	37	1	108	8.5
1	38	1	16.5	56.5
1	39	1	107.33333333333333	117.33333333333333
1	40	1	131.5	18.5
1	41	1	174	151
1	42	1	64	165
1	43	1	130	14
1	44	1	16.5	9
1	45	1	139.71428571428572	24
2	1	2	4.8959999999999955	5.011999999999999
2	2	2	5.063999999999998	44.89200000000001
2	3	2	4.8959999999999955	85.01200000000004
2	4	2	5.003999999999999	124.95999999999998
2	5	2	4.9999999999999964	165.00000000000009
2	6	2	44.964	4.9440000000000035
2	7	2	45.01599999999997	45
2	8	2	45.036144578313284	84.9437751004016
2	9	2	44.951417004048615	124.98380566801615
2	10	2	44.8995983935743	164.93975903614466
2	11	2	85.02000000000005	5.104000000000002
2	12	2	84.81200000000004	44.988000000000014
2	13	2	84.96799999999996	85.016
2	14	2	85.05599999999998	125.03599999999997
2	15	2	85.01612903225806	165.03225806451613
2	16	2	125.03599999999999	4.912000000000002
2	17	2	125.01600000000008	44.96799999999999
2	18	2	125.07600000000001	84.86799999999998
2	19	2	124.91199999999995	124.97200000000001
2	20	2	125.05599999999998	165.036
2	21	2	164.988	5.104000000000002
2	22	2	165.03199999999993	44.89599999999999
2	23	2	164.94399999999996	85.02799999999998
2	24	2	165.01999999999995	124.89599999999997
2	25	2	164.99999999999994	164.99999999999991
2	26	1	4.571428571428571	108
2	27	1	188	75.5
2	28	1	37.54545454545454	15.181818181818182
2	29	1	58.2	59
2	30	1	82	30.75
2	31	1	11.5	27
2	32	1	20.625	150.25
2	33	1	92.0909090909091	155.63636363636363
2	34	1	179.11111111111111	85.11111111111111
2	35	1	152.5	127
2	36	1	180	186
2	37	1	107.875	8.5
2	38	1	17.500000000000004	56.62499999999999
2	39	1	108.2	116.8
2	40	1	132	18.333333333333332
2	41	1	174	151
2	42	1	63.5	164.5
2	43	1	129.5	14
2	44	1	16.4	9.7
2	45	1	139.92307692307693	24.000000000000004
3	1	2	4.8959999999999955	5.011999999999999
3	2	2	5.063999999999998	44.89200000000001
3	3	2	4.8959999999999955	85.01200000000004
3	4	2	5.004016064257029	124.92369477911646
3	5	2	4.9999999999999964	165.00000000000009
3	6	2	44.964	4.9440000000000035
3	7	2	45.01599999999997	45
3	8	2	45.07200000000003	84.95199999999998
3	9	2	44.951417004048615	124.98380566801615
3	10	2	44.91200000000001	164.972
3	11	2	85.02000000000005	5.104000000000002
3	12	2	84.81200000000004	44.988000000000014
3	13	2	84.96400000000006	85.08800000000001
3	14	2	85.05599999999998	125.03599999999997
3	15	2	84.99999999999997	164.99999999999991
3	16	2	125.03599999999999	4.912000000000002
3	17	2	125.01600000000008	44.96799999999999
3	18	2	125.07600000000001	84.86799999999998
3	19	2	124.91199999999995	124.97200000000001
3	20	2	125.05599999999998	165.036
3	21	2	164.988	5.104000000000002
3	22	2	164.96399999999997	44.912000000000006
3	23	2	164.94399999999996	85.02799999999998
3	24	2	165.01999999999995	124.89599999999997
3	25	2	164.99999999999994	164.99999999999991
3	26	1	4.75	107.75
3	27	1	188	75
3	28	1	36.95	14.65
3	29	1	57.5	58.583333333333336
3	30	1	81.57142857142858	30.142857142857146
3	31	1	12.25	27.25
3	32	1	20.705882352941178	151.23529411764704
3	33	1	92.25	155.5
3	34	1	179.31249999999997	85.37500000000001
3	35	1	153	127
3	36	1	180	186
3	37	1	108	8.666666666666666
3	38	1	17.63636363636364	56.545454545454554
3	39	1	108.27272727272727	116.36363636363637
3	40	1	131.625	18.375
3	41	1	174	150.5
3	42	1	63.714285714285715	164.42857142857142
3	43	1	129.33333333333334	14.333333333333334
3	44	1	16.6	9.666666666666668
3	45	1	139.8421052631579	24.210526315789476
4	1	2	4.8959999999999955	5.011999999999999
4	2	2	5.063999999999998	44.89200000000001
4	3	2	4.8959999999999955	85.01200000000004
4	4	2	5.004016064257029	124.92369477911646
4	5	2	4.9999999999999964	165.00000000000009
4	6	2	44.964	4.9440000000000035
4	7	2	45.01599999999997	45
4	8	2	45.07200000000003	84.95199999999998
4	9	2	44.9677419354839	125.01612903225806
4	10	2	44.91200000000001	164.972
4	11	2	85.02000000000005	5.104000000000002
4	12	2	84.81200000000004	44.988000000000014
4	13	2	84.96400000000006	85.08800000000001
4	14	2	85.05599999999998	125.03599999999997
4	15	2	84.99999999999997	164.99999999999991
4	16	2	125.03599999999999	4.912000000000002
4	17	2	125.01612903225806	44.96774193548388
4	18	2	125.04016064257029	84.86746987951805
4	19	2	124.91199999999995	124.97200000000001
4	20	2	125.05599999999998	165.036
4	21	2	164.988	5.104000000000002
4	22	2	164.96399999999997	44.912000000000006
4	23	2	164.94399999999996	85.02799999999998
4	24	2	165.01999999999995	124.89599999999997
4	25	2	164.99999999999994	164.99999999999991
4	26	1	4.4375	107.4375
4	27	1	187.625	74.62499999999999
4	28	1	36.65624999999999	14.562499999999998
4	29	1	57.722222222222214	58.27777777777777
4	30	1	81	29.428571428571427
4	31	1	12	27.2
4	32	1	20.440000000000005	150.60000000000002
4	33	1	92.21739130434781	154.73913043478262
4	34	1	179.7241379310345	85.24137931034483
4	35	1	153.14285714285714	127.42857142857143
4	36	1	180.25	186
4	37	1	108	9.000000000000002
4	38	1	17.086956521739133	56.21739130434782
4	39	1	108.31578947368422	116.1578947368421
4	40	1	132.42857142857142	18.428571428571427
4	41	1	173.66666666666666	150.33333333333334
4	42	1	64	165.20000000000002
4	43	1	129	14.5
4	44	1	16.900000000000002	9.8
4	45	1	139.71999999999997	23.96
5	1	2	4.8959999999999955	5.011999999999999
5	2	2	5.063999999999998	44.89200000000001
5	3	2	4.8959999999999955	85.01200000000004
5	4	2	5.036000000000001	124.90799999999999
5	5	2	4.9999999999999964	165.00000000000009
5	6	2	44.964	4.9440000000000035
5	7	2	45.01599999999997	45
5	8	2	45.07200000000003	84.95199999999998
