fpr,tpr
0.0,0.0
0.008064516129032258,0.0
0.008064516129032258,0.002
0.016129032258064516,0.002
0.016129032258064516,0.004
0.024193548387096774,0.004
0.024193548387096774,0.006
0.024193548387096774,0.008
0.024193548387096774,0.01
0.024193548387096774,0.012
0.03225806451612903,0.012
0.03225806451612903,0.014
0.03225806451612903,0.016
0.04032258064516129,0.016
0.04032258064516129,0.018
0.04032258064516129,0.02
0.04838709677419355,0.02
0.04838709677419355,0.022
0.04838709677419355,0.024
0.04838709677419355,0.026
0.04838709677419355,0.028
0.04838709677419355,0.03
0.04838709677419355,0.032
0.04838709677419355,0.034
0.04838709677419355,0.036
0.056451612903225805,0.036
0.056451612903225805,0.038
0.056451612903225805,0.04
0.056451612903225805,0.042
0.056451612903225805,0.044
0.056451612903225805,0.046
0.056451612903225805,0.048
0.056451612903225805,0.05
0.056451612903225805,0.052
0.06451612903225806,0.052
0.06451612903225806,0.054
0.06451612903225806,0.056
0.06451612903225806,0.058
0.06451612903225806,0.06
0.06451612903225806,0.062
0.06451612903225806,0.064
0.07258064516129033,0.064
0.08064516129032258,0.064
0.08064516129032258,0.066
0.08064516129032258,0.068
0.08064516129032258,0.07
0.08064516129032258,0.072
0.08064516129032258,0.074
0.08870967741935484,0.074
0.08870967741935484,0.076
0.08870967741935484,0.078
0.08870967741935484,0.08
0.08870967741935484,0.082
0.08870967741935484,0.084
0.08870967741935484,0.086
0.08870967741935484,0.088
0.0967741935483871,0.088
0.0967741935483871,0.09
0.0967741935483871,0.092
0.10483870967741936,0.092
0.10483870967741936,0.094
0.10483870967741936,0.096
0.10483870967741936,0.098
0.10483870967741936,0.1
0.10483870967741936,0.102
0.10483870967741936,0.104
0.10483870967741936,0.106
0.10483870967741936,0.108
0.10483870967741936,0.11
0.10483870967741936,0.114
0.10483870967741936,0.116
0.10483870967741936,0.118
0.10483870967741936,0.12
0.10483870967741936,0.122
0.11290322580645161,0.122
0.12096774193548387,0.122
0.12096774193548387,0.124
0.12096774193548387,0.126
0.12096774193548387,0.128
0.12903225806451613,0.128
0.12903225806451613,0.13
0.12903225806451613,0.132
0.12903225806451613,0.134
0.13709677419354838,0.134
0.14516129032258066,0.134
0.14516129032258066,0.136
0.1532258064516129,0.136
0.1532258064516129,0.138
0.1532258064516129,0.14
0.1532258064516129,0.142
0.1532258064516129,0.144
0.1532258064516129,0.146
0.1532258064516129,0.148
0.1532258064516129,0.15
0.1532258064516129,0.152
0.1532258064516129,0.154
0.1532258064516129,0.156
0.1532258064516129,0.158
0.16129032258064516,0.158
0.1693548387096774,0.158
0.1693548387096774,0.16
0.1693548387096774,0.162
0.1693548387096774,0.164
0.1693548387096774,0.166
0.1693548387096774,0.168
0.1693548387096774,0.17
0.1693548387096774,0.172
0.1693548387096774,0.174
0.1774193548387097,0.174
0.18548387096774194,0.174
0.18548387096774194,0.176
0.18548387096774194,0.178
0.18548387096774194,0.18
0.18548387096774194,0.182
0.18548387096774194,0.184
0.1935483870967742,0.184
0.20161290322580644,0.184
0.20161290322580644,0.186
0.20161290322580644,0.188
0.20161290322580644,0.19
0.20967741935483872,0.19
0.20967741935483872,0.192
0.20967741935483872,0.194
0.20967741935483872,0.196
0.20967741935483872,0.198
0.20967741935483872,0.2
0.20967741935483872,0.202
0.20967741935483872,0.206
0.20967741935483872,0.208
0.21774193548387097,0.208
0.21774193548387097,0.21
0.21774193548387097,0.212
0.21774193548387097,0.214
0.22580645161290322,0.214
0.22580645161290322,0.216
0.22580645161290322,0.218
0.22580645161290322,0.22
0.22580645161290322,0.222
0.22580645161290322,0.224
0.22580645161290322,0.226
0.22580645161290322,0.228
0.22580645161290322,0.23
0.23387096774193547,0.23
0.23387096774193547,0.232
0.23387096774193547,0.234
0.23387096774193547,0.236
0.23387096774193547,0.238
0.24193548387096775,0.238
0.25,0.238
0.25,0.242
0.25,0.244
0.25806451612903225,0.244
0.25806451612903225,0.246
0.25806451612903225,0.248
0.25806451612903225,0.25
0.25806451612903225,0.252
0.25806451612903225,0.254
0.25806451612903225,0.256
0.25806451612903225,0.258
0.25806451612903225,0.26
0.25806451612903225,0.262
0.25806451612903225,0.264
0.25806451612903225,0.266
0.25806451612903225,0.268
0.25806451612903225,0.27
0.25806451612903225,0.272
0.25806451612903225,0.274
0.25806451612903225,0.276
0.25806451612903225,0.278
0.25806451612903225,0.28
0.25806451612903225,0.282
0.2661290322580645,0.282
0.27419354838709675,0.282
0.27419354838709675,0.284
0.27419354838709675,0.286
0.28225806451612906,0.286
0.28225806451612906,0.288
0.28225806451612906,0.29
0.28225806451612906,0.292
0.28225806451612906,0.294
0.28225806451612906,0.296
0.28225806451612906,0.298
0.28225806451612906,0.3
0.28225806451612906,0.302
0.28225806451612906,0.304
0.28225806451612906,0.306
0.2903225806451613,0.306
0.29838709677419356,0.306
0.29838709677419356,0.308
0.29838709677419356,0.31
0.29838709677419356,0.312
0.29838709677419356,0.314
0.29838709677419356,0.316
0.29838709677419356,0.318
0.3064516129032258,0.318
0.3064516129032258,0.32
0.3064516129032258,0.322
0.3064516129032258,0.324
0.3064516129032258,0.326
0.3064516129032258,0.33
0.3064516129032258,0.332
0.3064516129032258,0.334
0.3064516129032258,0.336
0.3064516129032258,0.338
0.3064516129032258,0.34
0.31451612903225806,0.34
0.31451612903225806,0.342
0.31451612903225806,0.344
0.31451612903225806,0.346
0.31451612903225806,0.348
0.31451612903225806,0.35
0.31451612903225806,0.352
0.31451612903225806,0.354
0.31451612903225806,0.356
0.31451612903225806,0.358
0.31451612903225806,0.36
0.31451612903225806,0.362
0.31451612903225806,0.364
0.31451612903225806,0.366
0.31451612903225806,0.368
0.31451612903225806,0.37
0.31451612903225806,0.372
0.31451612903225806,0.374
0.3225806451612903,0.374
0.3225806451612903,0.376
0.33064516129032256,0.376
0.3387096774193548,0.376
0.3387096774193548,0.378
0.3387096774193548,0.38
0.3387096774193548,0.382
0.3387096774193548,0.384
0.3387096774193548,0.386
0.3467741935483871,0.386
0.3467741935483871,0.388
0.3467741935483871,0.39
0.3467741935483871,0.392
0.3467741935483871,0.396
0.3548387096774194,0.396
0.3548387096774194,0.4
0.3548387096774194,0.402
0.3548387096774194,0.404
0.3548387096774194,0.406
0.3548387096774194,0.408
0.3548387096774194,0.41
0.3548387096774194,0.412
0.3548387096774194,0.414
0.3548387096774194,0.416
0.3548387096774194,0.418
0.3548387096774194,0.42
0.3548387096774194,0.422
0.3548387096774194,0.424
0.3548387096774194,0.426
0.3548387096774194,0.428
0.3629032258064516,0.428
0.3709677419354839,0.428
0.3709677419354839,0.43
0.3709677419354839,0.432
0.3709677419354839,0.434
0.3709677419354839,0.436
0.3709677419354839,0.438
0.3790322580645161,0.438
0.3790322580645161,0.44
0.3870967741935484,0.44
0.3870967741935484,0.442
0.3870967741935484,0.444
0.3870967741935484,0.446
0.3870967741935484,0.448
0.3951612903225806,0.448
0.3951612903225806,0.45
0.3951612903225806,0.452
0.3951612903225806,0.454
0.3951612903225806,0.456
0.3951612903225806,0.458
0.3951612903225806,0.46
0.3951612903225806,0.462
0.3951612903225806,0.464
0.3951612903225806,0.466
0.4032258064516129,0.466
0.4032258064516129,0.468
0.4112903225806452,0.468
0.4112903225806452,0.47
0.4112903225806452,0.472
0.41935483870967744,0.472
0.41935483870967744,0.474
0.4274193548387097,0.474
0.4274193548387097,0.476
0.4274193548387097,0.478
0.4274193548387097,0.48
0.4274193548387097,0.482
0.4274193548387097,0.484
0.4274193548387097,0.486
0.4274193548387097,0.488
0.4274193548387097,0.49
0.4274193548387097,0.492
0.43548387096774194,0.492
0.43548387096774194,0.494
0.43548387096774194,0.496
0.43548387096774194,0.498
0.43548387096774194,0.5
0.43548387096774194,0.502
0.43548387096774194,0.504
0.43548387096774194,0.506
0.43548387096774194,0.508
0.4435483870967742,0.508
0.4435483870967742,0.51
0.4435483870967742,0.512
0.4435483870967742,0.514
0.4435483870967742,0.516
0.4435483870967742,0.518
0.4435483870967742,0.52
0.4435483870967742,0.522
0.4435483870967742,0.524
0.45161290322580644,0.524
0.45161290322580644,0.526
0.45161290322580644,0.528
0.4596774193548387,0.528
0.4596774193548387,0.53
0.46774193548387094,0.53
0.47580645161290325,0.53
0.47580645161290325,0.532
0.47580645161290325,0.534
0.47580645161290325,0.536
0.47580645161290325,0.538
0.47580645161290325,0.54
0.47580645161290325,0.542
0.47580645161290325,0.544
0.47580645161290325,0.546
0.47580645161290325,0.548
0.47580645161290325,0.55
0.4838709677419355,0.55
0.49193548387096775,0.55
0.49193548387096775,0.552
0.49193548387096775,0.554
0.49193548387096775,0.556
0.49193548387096775,0.558
0.49193548387096775,0.56
0.49193548387096775,0.562
0.49193548387096775,0.564
0.49193548387096775,0.566
0.5,0.566
0.5,0.568
0.5,0.57
0.5,0.576
0.5,0.578
0.5,0.58
0.5,0.582
0.5,0.584
0.5,0.586
0.5,0.588
0.5,0.59
0.5,0.592
0.5,0.594
0.5,0.596
0.5,0.598
0.5,0.6
0.5,0.602
0.5,0.608
0.5,0.61
0.5,0.612
0.5080645161290323,0.612
0.5080645161290323,0.614
0.5080645161290323,0.616
0.5080645161290323,0.618
0.5080645161290323,0.62
0.5080645161290323,0.622
0.5161290322580645,0.622
0.5161290322580645,0.624
0.5241935483870968,0.624
0.532258064516129,0.624
0.532258064516129,0.626
0.532258064516129,0.628
0.532258064516129,0.63
0.532258064516129,0.632
0.5403225806451613,0.632
0.5403225806451613,0.634
0.5403225806451613,0.636
0.5403225806451613,0.638
0.5403225806451613,0.64
0.5403225806451613,0.642
0.5403225806451613,0.644
0.5403225806451613,0.646
0.5403225806451613,0.648
0.5483870967741935,0.648
0.5564516129032258,0.648
0.5645161290322581,0.648
0.5645161290322581,0.65
0.5725806451612904,0.65
0.5725806451612904,0.652
0.5725806451612904,0.654
0.5725806451612904,0.656
0.5725806451612904,0.658
0.5806451612903226,0.658
0.5806451612903226,0.66
0.5806451612903226,0.662
0.5806451612903226,0.664
0.5887096774193549,0.664
0.5887096774193549,0.666
0.5887096774193549,0.668
0.5887096774193549,0.672
0.5887096774193549,0.674
0.5887096774193549,0.676
0.5887096774193549,0.678
0.5887096774193549,0.68
0.5967741935483871,0.68
0.5967741935483871,0.682
0.5967741935483871,0.684
0.5967741935483871,0.686
0.5967741935483871,0.688
0.5967741935483871,0.69
0.6048387096774194,0.69
0.6048387096774194,0.692
0.6129032258064516,0.692
0.6129032258064516,0.694
0.6209677419354839,0.694
0.6209677419354839,0.696
0.6209677419354839,0.7
0.6209677419354839,0.702
0.6290322580645161,0.702
0.6290322580645161,0.704
0.6290322580645161,0.706
